Recipient,Category,Grant,FY14
Ledyard,Capital Projects/Transportation,Town Aid Road,295910.23
Ledyard,Capital Projects/Transportation,Urban Action Grants,0
Ledyard,Property Tax,Elderly Circuit Breaker,68115.92
Ledyard,Property Tax,State Property PILOT,445630.92
Ledyard,Property Tax,Veterans' Exemption,4370.69
Ledyard,Property Tax,Disability Exemption,1167.76
Ledyard,Property Tax,Pequot Grants,940253.65
Ledyard,Property Tax,Grants For Municipal Projects,396030
Lebanon,Education,Child Nutrition State Match,4353
Lebanon,Education,School Breakfast,9374
Lebanon,Education,Excess Cost- Student Based,528765
Lebanon,Education,Education Cost Sharing,5558950
Lebanon,Education,Public School Transportation,96021
Lebanon,Education,Adult Education,7916
Lebanon,Education,Vocational Agriculture,276593
Lebanon,Public Health/Social Services,Healthy Foods Initiative,8910
Lebanon,Property Tax,Elderly Circuit Breaker,32848.24
Lebanon,Property Tax,State Property PILOT,30427.96
Lebanon,Property Tax,Veterans' Exemption,3427.55
Lebanon,Property Tax,Disability Exemption,652.78
Lebanon,Property Tax,Pequot Grants,30160.02
Lebanon,Property Tax,Grants For Municipal Projects,28617
Lebanon,Capital Projects/Transportation,LoCIP,71772
Lebanon,Capital Projects/Transportation,Town Aid Road,317984.17
Lebanon,Capital Projects/Transportation,Bus Operations,30559.75
Kent,Education,Child Nutrition State Match,854
Kent,Education,Excess Cost- Student Based,150097
Kent,Education,Education Cost Sharing,174747
Kent,Education,Public School Transportation,359
Kent,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),500000
Kent,Capital Projects/Transportation,LoCIP,41472
Kent,Capital Projects/Transportation,Town Aid Road,281308.92
Kent,Property Tax,Elderly Circuit Breaker,16664.12
Kent,Property Tax,State Property PILOT,56452.19
Kent,Property Tax,Veterans' Exemption,718.4
Kent,Property Tax,Disability Exemption,114.58
Kent,Property Tax,Pequot Grants,7817.22
Kent,Property Tax,DECD Tax Abatement,6666
Kent,Property Tax,Grants For Municipal Projects,0
Hartland,Education,Child Nutrition State Match,518
Hartland,Education,School Construction,250185
Hartland,Education,Excess Cost- Student Based,37826
Hartland,Education,Education Cost Sharing,1359929
Hartland,Education,Public School Transportation,22726
Hartland,Education,Adult Education,1993
Hartland,Public Health/Social Services,Healthy Foods Initiative,1059
Hartland,Property Tax,Elderly Circuit Breaker,10472.18
Hartland,Property Tax,State Property PILOT,95486.82
Hartland,Property Tax,Veterans' Exemption,976.02
Hartland,Property Tax,Disability Exemption,172.69
Hartland,Property Tax,Pequot Grants,12304.12
Hartland,Property Tax,Grants For Municipal Projects,898
Hartland,Capital Projects/Transportation,LoCIP,19889
Hartland,Capital Projects/Transportation,Town Aid Road,142905.77
Hampton,Education,Child Nutrition State Match,498
Hampton,Education,School Construction,26230
Hampton,Education,School Breakfast,3018
Hampton,Education,Education Cost Sharing,1339928
Hampton,Education,Public School Transportation,18190
Hampton,Education,Adult Education,1638
Hampton,Public Health/Social Services,Healthy Foods Initiative,1020
Hampton,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),450000
Hampton,Capital Projects/Transportation,LoCIP,28877
Hampton,Capital Projects/Transportation,Town Aid Road,187969.91
Hampton,Property Tax,Elderly Circuit Breaker,17304.94
Hampton,Property Tax,State Property PILOT,28529.96
Hampton,Property Tax,Veterans' Exemption,1043.27
Hampton,Property Tax,Disability Exemption,461.15
Hampton,Property Tax,Pequot Grants,12716.63
Hampton,Property Tax,Grants For Municipal Projects,0
Guilford,Education,Child Nutrition State Match,9499
Guilford,Education,School Construction,6396197
Guilford,Education,Magnet Schools,26084
Guilford,Education,Excess Cost- Student Based,1253105
Guilford,Education,Education Cost Sharing,3169203
Guilford,Education,Public School Transportation,29295
Guilford,Education,Youth Service Bureaus,31509
Guilford,Education,Adult Education,9311
Guilford,Education,Child Care Services,92450.96
Guilford,Public Health/Social Services,Healthy Foods Initiative,19441
Guilford,Property Tax,Colleges &amp; Hospitals PILOT,18236.75
Guilford,Property Tax,Elderly Circuit Breaker,154038.34
Guilford,Property Tax,State Property PILOT,18737.84
Guilford,Property Tax,Veterans' Exemption,14401.34
Guilford,Property Tax,Disability Exemption,1970.78
Guilford,Property Tax,Pequot Grants,29115.85
Guilford,Property Tax,Elderly Freeze,4413.59
Guilford,Property Tax,Grants For Municipal Projects,60989
Guilford,Property Tax,Municipal Aid Adjustment,75000
Guilford,Capital Projects/Transportation,LoCIP,138016
Guilford,Capital Projects/Transportation,Town Aid Road,360765.83
Guilford,Capital Projects/Transportation,Urban Action Grants,1432479
Groton,Education,Child Nutrition State Match,23749
Groton,Education,School Construction,657466
Groton,Education,School Breakfast,35652
Groton,Education,Magnet Schools,161703
Groton,Education,Bilingual Education,2500
Groton,Education,Excess Cost- Student Based,1418964
Groton,Education,Education Cost Sharing,25571522
Groton,Education,Public School Transportation,268332
Groton,Education,Nonpublic School Transportation,29514
Groton,Education,Youth Service Bureaus,39192
Groton,Education,Adult Education,103198
Groton,Public Health/Social Services,Healthy Foods Initiative,48609
Groton,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,29443
Groton,Property Tax,Colleges &amp; Hospitals PILOT,49073.94
Groton,Property Tax,Elderly Circuit Breaker,130697.17
Groton,Property Tax,State Property PILOT,1059611.79
Groton,Property Tax,Veterans' Exemption,11333.79
Groton,Property Tax,Disability Exemption,2908.14
Groton,Property Tax,Pequot Grants,1373411.7
Groton,Property Tax,Elderly Freeze,2019.56
Groton,Property Tax,Grants For Municipal Projects,1345981.29
Groton,Property Tax,Municipal Aid Adjustment,539968.05
Groton,Capital Projects/Transportation,LoCIP,235199
Groton,Capital Projects/Transportation,Town Aid Road,495005.46
Groton,Capital Projects/Transportation,Distressed Municipalities,329345.92
Groton,Capital Projects/Transportation,Urban Action Grants,0
Groton,Capital Projects/Transportation,Bus Operations,239024
Griswold,Education,Child Nutrition State Match,8229
Griswold,Education,School Breakfast,9724
Griswold,Education,Excess Cost- Student Based,636045
Griswold,Education,Education Cost Sharing,10937610
Griswold,Education,Public School Transportation,157192
Griswold,Education,Youth Service Bureaus,18937
Griswold,Education,Adult Education,51587
Griswold,Education,Young Parents Program,30200
Griswold,Property Tax,Elderly Circuit Breaker,39247.72
Griswold,Property Tax,State Property PILOT,59148.85
Griswold,Property Tax,Veterans' Exemption,9086.7
Griswold,Property Tax,Disability Exemption,1137.83
Griswold,Property Tax,Pequot Grants,101751.26
Griswold,Property Tax,Grants For Municipal Projects,33942
Griswold,Property Tax,Municipal Aid Adjustment,15379.88
Griswold,Capital Projects/Transportation,LoCIP,94537
Griswold,Capital Projects/Transportation,Town Aid Road,270414.09
Griswold,Capital Projects/Transportation,Urban Action Grants,100000
Greenwich,Education,Child Nutrition State Match,22785
Greenwich,Education,School Breakfast,18875
Greenwich,Education,Bilingual Education,15602
Greenwich,Education,Excess Cost- Student Based,1655922
Greenwich,Education,Education Cost Sharing,3794659
Greenwich,Education,Public School Transportation,290
Greenwich,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),500000
Greenwich,Capital Projects/Transportation,LoCIP,319596
Greenwich,Capital Projects/Transportation,Town Aid Road,746314.71
Greenwich,Capital Projects/Transportation,Urban Action Grants,0
Greenwich,Capital Projects/Transportation,Bus Operations,72902
Greenwich,Property Tax,Colleges &amp; Hospitals PILOT,849790.69
Greenwich,Property Tax,Elderly Circuit Breaker,179595.65
Greenwich,Property Tax,State Property PILOT,23319.7
Greenwich,Property Tax,Veterans' Exemption,28827.01
Greenwich,Property Tax,Disability Exemption,315.19
Greenwich,Property Tax,Pequot Grants,97988.8
Greenwich,Property Tax,Elderly Freeze,4000
Greenwich,Property Tax,DECD PILOT Grant,98760
Greenwich,Property Tax,Grants For Municipal Projects,83725
Greenwich,Property Tax,Municipal Aid Adjustment,63668.64
Greenwich,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,7632
Greenwich,Public Health/Social Services,Local and District Departments of Health,72902.76
Granby,Education,Child Nutrition State Match,5814
Granby,Education,School Construction,238904
Granby,Education,OPEN Choice,699979
Granby,Education,Magnet Schools,26500
Granby,Education,Excess Cost- Student Based,108941
Granby,Education,Education Cost Sharing,5521956
Granby,Education,Public School Transportation,53198
Granby,Education,Youth Service Bureaus,18937
Granby,Education,Adult Education,3018
Granby,Property Tax,Elderly Circuit Breaker,70107.54
Granby,Property Tax,State Property PILOT,15566.32
Granby,Property Tax,Veterans' Exemption,3989.03
Granby,Property Tax,Disability Exemption,1258.19
Granby,Property Tax,Pequot Grants,26770.27
Granby,Property Tax,DECD Tax Abatement,10911
Granby,Property Tax,Grants For Municipal Projects,33230
Granby,Capital Projects/Transportation,LoCIP,82007
Granby,Capital Projects/Transportation,Town Aid Road,259672.69
Granby,Capital Projects/Transportation,Bus Operations,28641
Glastonbury,Education,Child Nutrition State Match,23378
Glastonbury,Education,School Construction,2817204.99
Glastonbury,Education,OPEN Choice,167929
Glastonbury,Education,School Breakfast,6408
Glastonbury,Education,Magnet Schools,69313
Glastonbury,Education,Excess Cost- Student Based,987939
Glastonbury,Education,Education Cost Sharing,6512384
Glastonbury,Education,Public School Transportation,98493
Glastonbury,Education,Youth Service Bureaus,27754
Glastonbury,Education,Adult Education,6505
Glastonbury,Education,Vocational Agriculture,290422
Glastonbury,Public Health/Social Services,Healthy Foods Initiative,47848
Glastonbury,Property Tax,Colleges &amp; Hospitals PILOT,1376.59
Glastonbury,Property Tax,Elderly Circuit Breaker,143110.69
Glastonbury,Property Tax,State Property PILOT,59986.39
Glastonbury,Property Tax,Veterans' Exemption,12081.02
Glastonbury,Property Tax,Disability Exemption,2676.9
Glastonbury,Property Tax,Pequot Grants,38732.31
Glastonbury,Property Tax,Grants For Municipal Projects,226471
Glastonbury,Capital Projects/Transportation,LoCIP,205872
Glastonbury,Capital Projects/Transportation,Town Aid Road,463798.39
Glastonbury,Capital Projects/Transportation,Urban Action Grants,0
Glastonbury,Capital Projects/Transportation,Bus Operations,51278
Franklin,Education,Child Nutrition State Match,776
Franklin,Education,School Breakfast,2683
Franklin,Education,Magnet Schools,1300
Franklin,Education,Excess Cost- Student Based,85220
Franklin,Education,Education Cost Sharing,949022
Franklin,Education,Public School Transportation,18255
Franklin,Education,Adult Education,3424
Franklin,Public Health/Social Services,Healthy Foods Initiative,1588
Franklin,Property Tax,Elderly Circuit Breaker,15467.5
Franklin,Property Tax,State Property PILOT,15825.65
Franklin,Property Tax,Veterans' Exemption,1245.31
Franklin,Property Tax,Disability Exemption,189.78
Franklin,Property Tax,Pequot Grants,12744.29
Franklin,Property Tax,Grants For Municipal Projects,21707
Franklin,Capital Projects/Transportation,LoCIP,17905
Franklin,Capital Projects/Transportation,Town Aid Road,128878.89
Franklin,Capital Projects/Transportation,Bus Operations,13142
Fairfield,Education,Child Nutrition State Match,26039
Fairfield,Education,School Construction,1528648.91
Fairfield,Education,OPEN Choice,188055
Fairfield,Education,School Breakfast,6113
Fairfield,Education,Magnet Schools,70200
Fairfield,Education,Excess Cost- Student Based,2784068
Fairfield,Education,Education Cost Sharing,3584813
Fairfield,Education,Nonpublic School Transportation,12890
Fairfield,Education,Youth Service Bureaus,36440
Fairfield,Education,Adult Education,11278
Fairfield,Public Health/Social Services,Healthy Foods Initiative,53295
Fairfield,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,57552
Fairfield,Public Health/Social Services,Local and District Departments of Health,70753.98
Fairfield,Property Tax,Colleges &amp; Hospitals PILOT,2409013.26
Fairfield,Property Tax,Elderly Circuit Breaker,469508.19
Fairfield,Property Tax,State Property PILOT,31989.36
Fairfield,Property Tax,Veterans' Exemption,170334.51
Fairfield,Property Tax,Disability Exemption,4074.04
Fairfield,Property Tax,Pequot Grants,286874.78
Fairfield,Property Tax,Elderly Freeze,6000
Fairfield,Property Tax,Grants For Municipal Projects,90990
Fairfield,Property Tax,Municipal Aid Adjustment,48058.32
Fairfield,Capital Projects/Transportation,LoCIP,373921
Fairfield,Capital Projects/Transportation,Town Aid Road,709718.88
Essex,Education,Child Nutrition State Match,1449
Essex,Education,Excess Cost- Student Based,119368
Essex,Education,Education Cost Sharing,387991
Essex,Education,Public School Transportation,429
Essex,Education,Youth Service Bureaus,22274
Essex,Public Health/Social Services,Healthy Foods Initiative,2966
Essex,Property Tax,Colleges &amp; Hospitals PILOT,14206.89
Essex,Property Tax,Elderly Circuit Breaker,30148.62
Essex,Property Tax,State Property PILOT,9675
Essex,Property Tax,Veterans' Exemption,3050.2
Essex,Property Tax,Disability Exemption,184.05
Essex,Property Tax,Pequot Grants,11463.21
Essex,Property Tax,Grants For Municipal Projects,70111
Essex,Capital Projects/Transportation,LoCIP,40351
Essex,Capital Projects/Transportation,Town Aid Road,215748.32
Ellington,Education,Child Nutrition State Match,7865
